ID,Forename,Surname,ImageURL,ImageActionURL
40789,Carlos,ROBLES,https://cdn.soccerwiki.org/images/player/40789.png,
40794,Rafael,PÉREZ,https://cdn.soccerwiki.org/images/player/40794.png,
40802,Wilson,MORELO,https://cdn.soccerwiki.org/images/player/40802.png,
40810,Dani,TORRES,https://cdn.soccerwiki.org/images/player/40810.png,
40811,José,VALENCIA,https://cdn.soccerwiki.org/images/player/40811.png,
40812,Oswaldo,HENRÍQUEZ,https://cdn.soccerwiki.org/images/player/40812.png,
40814,Cristian,SUBERO,https://cdn.soccerwiki.org/images/player/40814.jpg,
40816,Omar,VÁSQUEZ,https://cdn.soccerwiki.org/images/player/40816_1277155764.jpg,
40817,Wilson,CUERO,https://cdn.soccerwiki.org/images/player/40817.png,
40818,Pedro,FRANCO,https://cdn.soccerwiki.org/images/player/40818.png,
40829,Orlando,BERRÍO,https://cdn.soccerwiki.org/images/player/40829.png,
40830,Edwin,CARDONA,https://cdn.soccerwiki.org/images/player/40830.png,
40832,Róger,CAÑAS,https://cdn.soccerwiki.org/images/player/40832.png,
40834,Juan,MURIEL,,
41787,Andrés,ANDRADE,https://cdn.soccerwiki.org/images/player/41787.png,
41818,Fernando,URIBE,https://cdn.soccerwiki.org/images/player/41818.png,
42165,Róger,TORRES,https://cdn.soccerwiki.org/images/player/42165.png,
44154,Luis,MENA,https://cdn.soccerwiki.org/images/player/44154.png,
44304,Luis,MURIEL,https://cdn.soccerwiki.org/images/player/44304.png,
45462,Stiven,MENDOZA,https://cdn.soccerwiki.org/images/player/45462.png,
45463,Jonny,MOSQUERA,https://cdn.soccerwiki.org/images/player/45463.png,
45465,Juan Fernando,QUINTERO,https://cdn.soccerwiki.org/images/player/45465.png,
45469,Fabio,BURBANO,https://cdn.soccerwiki.org/images/player/45469.png,
45470,Yessy,MENA,https://cdn.soccerwiki.org/images/player/45470.png,
45493,Jéfferson,CUERO,https://cdn.soccerwiki.org/images/player/45493.png,
45498,Jhony,CANO,https://cdn.soccerwiki.org/images/player/45498.png,
45502,William,TESILLO,https://cdn.soccerwiki.org/images/player/45502.png,
45504,Luis Alejandro,PAZ,https://cdn.soccerwiki.org/images/player/45504.png,
45505,Fáiner,TORIJANO,https://cdn.soccerwiki.org/images/player/45505.png,
45507,Juan Camilo,VELA,https://cdn.soccerwiki.org/images/player/45507.jpg,
45513,Gustavo,CUÉLLAR,https://cdn.soccerwiki.org/images/player/45513.png,
45514,César,AMAYA,https://cdn.soccerwiki.org/images/player/45514.jpg,
45517,Fabián,CASTILLO,https://cdn.soccerwiki.org/images/player/45517.png,
45518,Andrés,ESCOBAR,https://cdn.soccerwiki.org/images/player/45518.jpg,
45519,Cristian,LASSO,https://cdn.soccerwiki.org/images/player/45519.png,
45535,Jorge,RAMOS,https://cdn.soccerwiki.org/images/player/45535.png,
45537,Daniel,SANTA,https://cdn.soccerwiki.org/images/player/45537.png,
45544,Francisco,RODRÍGUEZ,,
45554,Daniel,BOCANEGRA,https://cdn.soccerwiki.org/images/player/45554.png,
45556,Carlos,MOSQUERA,https://cdn.soccerwiki.org/images/player/45556.png,
45558,Yorleys,MENA,https://cdn.soccerwiki.org/images/player/45558.png,
45559,Yhon,MOSQUERA,https://cdn.soccerwiki.org/images/player/45559.jpg,
45638,Cristian,MARTÍNEZ,https://cdn.soccerwiki.org/images/player/45638.png,
48930,Juan David,CABEZAS,https://cdn.soccerwiki.org/images/player/48930.png,
49292,Santiago,TRÉLLEZ,https://cdn.soccerwiki.org/images/player/49292.png,
49695,Stefan,MEDINA,https://cdn.soccerwiki.org/images/player/49695.png,
49902,Luis,CARABALÍ,,
49963,Diego,NOVOA,https://cdn.soccerwiki.org/images/player/49963.png,
50048,Juan Daniel,ROA,https://cdn.soccerwiki.org/images/player/50048.jpg,
50064,Jonathan,COPETE,https://cdn.soccerwiki.org/images/player/50064.png,
50065,Wilmar,JORDÁN GIL,https://cdn.soccerwiki.org/images/player/50065.jpg,
50387,Sebastián,PÉREZ,https://cdn.soccerwiki.org/images/player/50387.png,
50403,Juan Fernando,CAICEDO,https://cdn.soccerwiki.org/images/player/50403.png,
50668,Danilo,ASPRILLA,https://cdn.soccerwiki.org/images/player/50668.png,
50775,Luciano,OSPINA,https://cdn.soccerwiki.org/images/player/50775.png,
50951,Jefferson,MENA,https://cdn.soccerwiki.org/images/player/50951.png,
50959,Diego,VALDÉS,https://cdn.soccerwiki.org/images/player/50959.png,
50963,Fredys,ARRIETA,https://cdn.soccerwiki.org/images/player/50963.png,
50964,Léiner,ESCALANTE,https://cdn.soccerwiki.org/images/player/50964.png,
50965,Francisco,MEZA,https://cdn.soccerwiki.org/images/player/50965.png,
50966,Elvis,MOSQUERA,https://cdn.soccerwiki.org/images/player/50966.png,
50969,Didier,MORENO,https://cdn.soccerwiki.org/images/player/50969.png,
50970,Orlando,OSORIO,https://cdn.soccerwiki.org/images/player/50970.png,
50975,David,SILVA,https://cdn.soccerwiki.org/images/player/50975.png,
50976,Andrés,CADAVID,https://cdn.soccerwiki.org/images/player/50976.png,
50983,Avilés,HURTADO,https://cdn.soccerwiki.org/images/player/50983.png,
50989,Yeison,LIZALDA,,
50990,Eder,CASTAÑEDA,https://cdn.soccerwiki.org/images/player/50990.jpg,
50992,Jackson,MONTAÑO,,
50998,Yéiner,OROZCO,,
50999,Wílber,RENTERÍA,https://cdn.soccerwiki.org/images/player/50999.png,
51000,Olmes,GARCÍA,https://cdn.soccerwiki.org/images/player/51000.jpg,
51005,José,CORREA,https://cdn.soccerwiki.org/images/player/51005.jpg,
51006,Yeison,GORDILLO,https://cdn.soccerwiki.org/images/player/51006.jpg,
51014,Luis,VÉLEZ,,
51016,Germán,MERA,https://cdn.soccerwiki.org/images/player/51016.jpg,
51017,Luis,PAYARES,https://cdn.soccerwiki.org/images/player/51017.png,
51019,Yerson,CANDELO,https://cdn.soccerwiki.org/images/player/51019.png,
51020,Daniel,GIRALDO,https://cdn.soccerwiki.org/images/player/51020.png,
51021,Harold,GÓMEZ,https://cdn.soccerwiki.org/images/player/51021.jpg,
51022,Jefferson,MURILLO,https://cdn.soccerwiki.org/images/player/51022.png,
51023,Brayan,PEREA,https://cdn.soccerwiki.org/images/player/51023.png,
51026,Érick,MORENO,https://cdn.soccerwiki.org/images/player/51026.png,
51028,Darwin,ANDRADE,https://cdn.soccerwiki.org/images/player/51028.png,
51035,Frank,FABRA,https://cdn.soccerwiki.org/images/player/51035.png,
51037,Carlos,HENAO,https://cdn.soccerwiki.org/images/player/51037.png,
51042,Jhon,CÓRDOBA,https://cdn.soccerwiki.org/images/player/51042.png,
51053,Ángelo,RODRÍGUEZ,https://cdn.soccerwiki.org/images/player/51053.png,
51056,Onel,VIDAL,https://cdn.soccerwiki.org/images/player/51056.png,
51057,David,ÁLVAREZ,https://cdn.soccerwiki.org/images/player/51057.png,
51062,Luis,MURILLO,https://cdn.soccerwiki.org/images/player/51062.png,
51063,Jhon Fredy,PAJOY,https://cdn.soccerwiki.org/images/player/51063.png,
51517,Cristian,MONTAÑO,https://cdn.soccerwiki.org/images/player/51517.png,
52134,Juan Camilo,SAIZ,https://cdn.soccerwiki.org/images/player/52134.png,
53623,Jeison,MURILLO,https://cdn.soccerwiki.org/images/player/53623.png,
54212,Anier,FIGUEROA,,
55001,Juanjo,NARVÁEZ,https://cdn.soccerwiki.org/images/player/55001.png,
55933,Sebastián,VELÁSQUEZ,https://cdn.soccerwiki.org/images/player/55933.png,
56376,Yimmi,CHARÁ,https://cdn.soccerwiki.org/images/player/56376.png,
57075,Jefferson,DUQUE,https://cdn.soccerwiki.org/images/player/57075.png,
58375,Yamilson,RIVERA,https://cdn.soccerwiki.org/images/player/58375.png,
58434,Andrés,MOSQUERA,https://cdn.soccerwiki.org/images/player/58434.png,
58641,Leyvin,BALANTA,https://cdn.soccerwiki.org/images/player/58641.png,
58651,Alexis,HINESTROZA,https://cdn.soccerwiki.org/images/player/58651.png,
59728,José Luis,CHUNGA,https://cdn.soccerwiki.org/images/player/59728.png,
60869,Mateus,URIBE,https://cdn.soccerwiki.org/images/player/60869.png,
60878,Kévin,RENDÓN,https://cdn.soccerwiki.org/images/player/60878.png,
61190,Harold,REINA,https://cdn.soccerwiki.org/images/player/61190.png,
61220,Juan,RÍOS,https://cdn.soccerwiki.org/images/player/61220_1351038268.jpg,
61432,Guillermo,CELIS,https://cdn.soccerwiki.org/images/player/61432.png,
61735,Yuber,MOSQUERA,https://cdn.soccerwiki.org/images/player/61735.png,
61791,Juan,PÉREZ,https://cdn.soccerwiki.org/images/player/61791.png,
61811,Jorge,ARIAS,https://cdn.soccerwiki.org/images/player/61811.png,
62026,Eliser,QUIÑÓNES,https://cdn.soccerwiki.org/images/player/62026.png,
62161,Edward,IBARBO,,
62529,William,ZAPATA,https://cdn.soccerwiki.org/images/player/62529_1359277202.jpg,
62553,Juan David,RODRÍGUEZ,https://cdn.soccerwiki.org/images/player/62553.png,
62731,Yesus,CABRERA,https://cdn.soccerwiki.org/images/player/62731.png,
62753,Elacio,CÓRDOBA,https://cdn.soccerwiki.org/images/player/62753.jpg,
62755,Yonathan,MURILLO,https://cdn.soccerwiki.org/images/player/62755.png,
62757,Baldomero,PERLAZA,https://cdn.soccerwiki.org/images/player/62757.png,
62791,Leonardo,PICO,https://cdn.soccerwiki.org/images/player/62791.png,
62793,Manuel,PALACIOS,https://cdn.soccerwiki.org/images/player/62793.png,
62794,Luis,QUIÑONES,https://cdn.soccerwiki.org/images/player/62794.jpg,
62795,Helibelton,PALACIOS,https://cdn.soccerwiki.org/images/player/62795.png,
62796,Cristian,HIGUITA,https://cdn.soccerwiki.org/images/player/62796.png,
62797,Harrison,MOJICA,https://cdn.soccerwiki.org/images/player/62797.png,
62798,Miguel,MURILLO,https://cdn.soccerwiki.org/images/player/62798.png,
62801,Julián,QUIÑÓNES,https://cdn.soccerwiki.org/images/player/62801.png,
62802,Héctor,URREGO,https://cdn.soccerwiki.org/images/player/62802.png,
62839,Willianson,CÓRDOBA,https://cdn.soccerwiki.org/images/player/62839.jpg,
62841,Edy,RENTERÍA,https://cdn.soccerwiki.org/images/player/62841.jpg,
62842,Luis,VERGARA,https://cdn.soccerwiki.org/images/player/62842.jpg,
62851,Carlos,RIVAS,https://cdn.soccerwiki.org/images/player/62851.png,
62853,César,TAJÁN,,
62854,Julián,FIGUEROA,https://cdn.soccerwiki.org/images/player/62854.jpg,
62915,Wílder,GUISAO,https://cdn.soccerwiki.org/images/player/62915.png,
